time,value
1419,-9488.22
1420,-9490.62
1421,-9504.98
1422,-9504.98
1423,-9481.04
1424,-9493.01
1425,-9509.77
1426,-9488.22
1427,-9485.83
1428,-9500.19
1429,-9481.04
1430,-9507.37
1431,-9507.37
1432,-9504.98
1433,-9483.43
1434,-9493.01
1435,-9507.37
1436,-9481.04
1437,-9481.04
1438,-9504.98
1439,-9481.04
1440,-9476.25
1441,-9497.80
1442,-9495.40
1443,-9481.04
1444,-9490.62
1445,-9500.19
1446,-9483.43
1447,-9488.22
1448,-9504.98
1449,-9481.04
1450,-9481.04
1451,-9500.19
1452,-9507.37
1453,-9471.46
1454,-9476.25
1455,-9512.16
1456,-9490.62
1457,-9469.07
1458,-9495.40
1459,-9485.83
1460,-9481.04
1461,-9504.98
1462,-9509.77
1463,-9481.04
1464,-9485.83
1465,-9504.98
1466,-9488.22
1467,-9473.86
1468,-9504.98
1469,-9490.62
1470,-9483.43
1471,-9485.83
1472,-9495.40
1473,-9481.04
1474,-9493.01
1475,-9504.98
1476,-9483.43
1477,-9481.04
1478,-9504.98
1479,-9495.40
1480,-9476.25
1481,-9493.01
1482,-9514.56
1483,-9488.22
1484,-9476.25
1485,-9497.80
1486,-9507.37
1487,-9488.22
1488,-9495.40
1489,-9512.16
1490,-9493.01
1491,-9481.04
1492,-9507.37
1493,-9490.62
1494,-9488.22
1495,-9497.80
1496,-9493.01
1497,-9469.07
1498,-9493.01
1499,-9512.16
1500,-9483.43
1501,-9488.22
1502,-9507.37
1503,-9504.98
1504,-9476.25
1505,-9488.22
1506,-9504.98
1507,-9488.22
1508,-9488.22
1509,-9500.19
1510,-9490.62
1511,-9490.62
1512,-9495.40
1513,-9497.80
1514,-9469.07
1515,-9485.83
1516,-9497.80
1517,-9483.43
1518,-9471.46
1519,-9502.59
1520,-9507.37
1521,-9483.43
1522,-9483.43
1523,-9497.80
1524,-9481.04
1525,-9483.43
1526,-9512.16
1527,-9485.83
1528,-9488.22
1529,-9502.59
1530,-9490.62
1531,-9471.46
1532,-9495.40
1533,-9502.59
1534,-9478.64
1535,-9481.04
1536,-9504.98
1537,-9493.01
1538,-9478.64
1539,-9502.59
1540,-9493.01
1541,-9481.04
1542,-9490.62
1543,-9497.80
1544,-9478.64
1545,-9483.43
1546,-9497.80
1547,-9502.59
1548,-9471.46
1549,-9493.01
1550,-9507.37
1551,-9481.04
1552,-9483.43
1553,-9512.16
1554,-9490.62
1555,-9483.43
1556,-9504.98
1557,-9497.80
1558,-9481.04
1559,-9493.01
1560,-9504.98
1561,-9471.46
1562,-9478.64
1563,-9509.77
1564,-9495.40
1565,-9476.25
1566,-9500.19
1567,-9502.59
1568,-9488.22
1569,-9488.22
1570,-9504.98
1571,-9488.22
1572,-9483.43
1573,-9504.98
1574,-9490.62
1575,-9490.62
1576,-9509.77
1577,-9507.37
1578,-9483.43
1579,-9495.40
1580,-9509.77
1581,-9488.22
1582,-9488.22
1583,-9504.98
1584,-9493.01
1585,-9490.62
1586,-9514.56
1587,-9512.16
1588,-9483.43
1589,-9490.62
1590,-9504.98
1591,-9485.83
1592,-9473.86
1593,-9497.80
1594,-9495.40
1595,-9471.46
1596,-9483.43
1597,-9516.95
1598,-9490.62
1599,-9476.25
1600,-9502.59
1601,-9490.62
1602,-9485.83
1603,-9497.80
1604,-9500.19
1605,-9478.64
1606,-9493.01
1607,-9507.37
1608,-9493.01
1609,-9490.62
1610,-9512.16
1611,-9497.80
1612,-9481.04
1613,-9504.98
1614,-9514.56
1615,-9478.64
1616,-9478.64
1617,-9495.40
1618,-9504.98
1619,-9483.43
1620,-9490.62
1621,-9507.37
1622,-9490.62
1623,-9485.83
1624,-9495.40
1625,-9495.40
1626,-9488.22
1627,-9495.40
1628,-9495.40
1629,-9483.43
1630,-9490.62
1631,-9512.16
1632,-9493.01
1633,-9500.19
1634,-9500.19
1635,-9509.77
1636,-9485.83
1637,-9497.80
1638,-9504.98
1639,-9493.01
1640,-9476.25
1641,-9497.80
1642,-9485.83
1643,-9481.04
1644,-9497.80
1645,-9497.80
1646,-9469.07
1647,-9495.40
1648,-9514.56
1649,-9485.83
1650,-9476.25
1651,-9500.19
1652,-9495.40
1653,-9476.25
1654,-9502.59
1655,-9507.37
1656,-9485.83
1657,-9490.62
1658,-9509.77
1659,-9483.43
1660,-9476.25
1661,-9502.59
1662,-9490.62
1663,-9476.25
1664,-9490.62
